,1,2,3,4,5,6,7,8,9,10,11,12
A,0.049,0.051,0.049,0.046,0.040,0.552,0.440,0.042,0.046,0.039,0.048,0.039
B,0.044,0.040,0.043,0.046,0.559,0.485,0.436,0.332,0.050,0.044,0.047,0.042
C,0.045,0.046,0.041,0.502,0.039,0.488,0.371,0.042,0.389,0.043,0.041,0.045
D,0.040,0.041,0.566,0.044,0.829,0.044,0.044,0.850,0.045,0.430,0.044,0.047
E,0.041,0.567,0.477,0.410,0.047,0.488,0.410,0.045,0.490,0.413,0.367,0.046
F,0.045,0.581,0.469,0.634,0.434,0.406,0.411,0.435,0.677,0.412,0.381,0.046
G,0.043,0.048,0.589,0.520,0.717,0.773,0.768,0.810,0.453,0.370,0.044,0.047
H,0.048,0.041,0.046,0.442,0.453,0.450,0.450,0.409,0.411,0.042,0.044,0.044
