,1,2,3,4,5,6,7,8,9,10,11,12
A,0.057,0.066,0.059,0.043,0.041,3.642,3.359,0.042,0.046,0.038,0.048,0.038
B,0.046,0.044,0.046,0.046,3.571,3.376,3.346,3.216,0.057,0.041,0.045,0.041
C,0.049,0.048,0.041,3.397,0.040,3.438,3.282,0.043,3.260,0.042,0.039,0.043
D,0.041,0.040,3.621,0.043,2.809,0.042,0.044,2.829,0.042,3.294,0.042,0.044
E,0.039,3.546,3.437,3.352,0.047,3.429,3.332,0.043,3.431,3.351,3.286,0.043
F,0.044,3.586,3.410,0.243,3.342,3.261,3.343,3.324,0.299,3.360,3.321,0.044
G,0.041,0.049,3.531,3.507,0.345,0.363,0.453,0.404,3.505,3.306,0.043,0.045
H,0.043,0.040,0.046,3.358,3.421,3.420,3.385,3.392,3.346,0.042,0.043,0.045
