,1,2,3,4,5,6,7,8,9,10,11,12
A,0.114,0.130,0.092,0.075,0.071,0.471,0.703,0.084,0.154,0.082,0.088,0.071
B,0.123,0.100,0.161,0.125,0.543,0.597,0.472,0.494,0.098,0.072,0.176,0.114
C,0.088,0.112,0.104,0.360,0.065,0.699,0.616,0.092,0.488,0.111,0.066,0.106
D,0.073,0.074,0.531,0.093,1.459,0.080,0.137,1.585,0.076,0.544,0.115,0.169
E,0.113,0.486,0.467,0.514,0.095,0.640,0.617,0.103,0.629,0.525,0.585,0.098
F,0.095,0.643,0.536,0.528,0.582,0.541,0.453,0.556,0.806,0.641,0.668,0.109
G,0.066,0.074,0.681,0.733,0.516,0.796,0.685,0.568,0.623,0.535,0.105,0.122
H,0.079,0.065,0.171,0.487,0.476,0.535,0.615,0.602,0.500,0.066,0.054,0.124
