,1,2,3,4,5,6,7,8,9,10,11,12
A,0.175,0.192,0.147,0.117,0.115,0.532,0.883,0.149,0.319,0.115,0.132,0.109
B,0.136,0.178,0.249,0.181,0.622,0.942,0.370,0.457,0.175,0.102,0.296,0.229
C,0.124,0.179,0.139,0.260,0.088,0.734,0.783,0.129,0.495,0.208,0.101,0.232
D,0.093,0.092,0.540,0.120,1.329,0.103,0.170,1.568,0.100,0.482,0.188,0.293
E,0.138,0.525,0.443,0.499,0.127,0.668,0.637,0.128,0.647,0.498,0.520,0.213
F,0.131,0.716,0.621,0.896,0.581,0.605,0.395,0.546,1.225,0.692,0.609,0.230
G,0.082,0.098,0.793,0.787,0.946,1.115,1.154,0.925,0.601,0.482,0.175,0.273
H,0.099,0.099,0.277,0.582,0.422,0.507,0.623,0.528,0.461,0.097,0.087,0.218
