,1,2,3,4,5,6,7,8,9,10,11,12
A,0.175,0.210,0.190,0.145,0.161,2.105,2.691,0.191,0.361,0.135,0.175,0.106
B,0.154,0.275,0.332,0.253,2.408,2.525,2.095,2.617,0.276,0.167,0.290,0.241
C,0.168,0.273,0.172,1.756,0.149,2.345,2.742,0.234,2.187,0.235,0.117,0.277
D,0.105,0.117,2.286,0.137,3.296,0.118,0.215,3.404,0.130,2.297,0.235,0.305
E,0.154,1.971,2.090,2.265,0.146,2.277,2.403,0.142,2.261,2.399,2.484,0.199
F,0.162,2.104,2.230,0.594,2.326,2.439,2.180,2.261,0.840,2.541,2.631,0.257
G,0.112,0.130,2.203,2.379,0.532,0.677,0.668,0.567,2.467,2.407,0.222,0.267
H,0.127,0.115,0.364,2.321,2.165,2.366,2.447,2.330,2.374,0.118,0.113,0.250
